"data_id","event_date","event_type","actor1","actor2","admin1","admin2","location","latitude","longitude","notes","fatalities"
9059027,2022-04-07,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Luhansk","Luhanskyi","Luhansk",48.567,39.3171,"On 7 April 2022, clashes took place between the Russian and Ukrainian forces in the Luhansk region as a result of which Ukrainian forces captured the position of the Russian forces as well as Russian military equipment. At least 3 Russian soldiers were wounded. LPR claims that Russian forces killed 34 Ukrainian soldiers and destroyed 7 armored personnel carriers and 12 vehicles in the Luhansk region. [coded to Luhansk as the exact location is unknown]",34
9059367,2022-04-07,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Pokrovskyi","Avdiivka",48.1394,37.7497,"On 7 April 2022, Russian forces shelled Avdiivka, Donetsk region as a result of which at least 1 civilian was killed and 5 were wounded.",1
9058892,2022-04-06,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Pokrovskyi","Ocheretino",48.2436,37.6097,"On 6 April 2022, Russian forces fired artillery in direction of Ocheretino, Donetsk. As a result of the shelling, one woman was killed.",1
9058893,2022-04-06,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Iziumskyi","Balakliia",49.4606,36.8527,"On 6 April 2022, Russian forces launched an artillery attack on Balakliia, Kharkiv, killing three people.",3
9058900,2022-04-06,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kherson","Henicheskyi","Novooleksiyivka",46.2247,34.6403,"On 6 April 2022, Russian forces shelled Novooleksiyivka, Kherson, killing one woman.",1
9059044,2022-04-06,"Violence against civilians","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Volnovaskyi","Vuhledar",47.7789,37.2481,"On 6 April 2022, Russian forces opened fire at the people in Vuhledar, Donetsk, waiting in a line to receive a humanitarian aid. Four of them were killed and another four people were wounded.",4
9059076,2022-04-06,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Bohodukhivskyi","Zolochiv",50.2799,35.9818,"On 6 April 2022, Russian forces shelled Zolochiv, Kharkiv, killing one civilian and wounding three others.",1
9059173,2022-04-06,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Donetsk","Volnovaskyi","Novotroitske",47.7158,37.5919,"On 6 April 2022, Ukrainian forces shelled at DPR positions near Novotroitske, Donetsk. As a result of the shelling, two civilians were killed and one was wounded.",2
9059622,2022-04-06,"Violence against civilians","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kherson","Henicheskyi","Novooleksiyivka",46.2247,34.6403,"On 6 April 2022, Russian forces shot dead a civilian man in Novooleksiyivka, Kherson.",1
9058863,2022-04-05,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Chernihiv","Prylutskyi","Pryluky",50.5932,32.3876,"On 5 April 2022, two people died and the other two were wounded in an explosion of an explosive device planted by Russian military forces in Pryluky district, Chernihiv. The family was driving a car.",2
9058879,2022-04-05,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Kharkivskyi","Kharkiv",49.9808,36.2527,"On 5 April 2022, Russian forces carried out artillery shelling of Kharkiv, destroying the infrastructure and residential areas of the city. At least four people were killed, further casualties unknown.",4
9058884,2022-04-05,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Rubizhne",49.0123,38.3797,"On 5 April 2022, Russian forces shelled Rubizhne, Luhansk, hitting a tanker with nitric acid. At least one civilian was killed as a result of the shelling. Casualties unknown.",1
9059063,2022-04-05,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Severodonetsk",48.9467,38.4914,"On 5 April 2022, Russian forces shelled Severodonetsk, Luhansk, destroying residential buildings and gas line. One civilian was killed, five were wounded.",1
9059074,2022-04-05,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kyiv","Buchanskyi","Lubyanka",50.6541,30.1701,"On 5 April 2022, Russian forces shelled three cars in Lubyanka, Kyiv, killing the civilians. Unspecified fatalities coded as 3.",3
9059091,2022-04-05,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Zaporizhia","Zaporizkyi","Zaporizhia",47.8479,35.1602,"On 5 April 2022, as a result of the armed clash between Ukrainian and Russian armed forces, Ukrainian soldiers killed 24 Russian soldiers and destroyed their equipment in Zaporizhia region.",24
9058856,2022-04-04,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Chernihiv","Prylutskyi","Ichnia",50.8561,32.391,"On 4 April 2022, the Ukrainian military forces destroyed a military convoy of the Russian military forces near Ichnia, Chernihiv, killing Russian soldiers. Unspecified fatalities coded as 10.",10
9058862,2022-04-04,"Explosions/Remote violence","Military Forces of Russia (2000-) Air Force","Civilians (Ukraine)","Mykolaiv","Mykolaivskyi","Mykolaiv",46.9672,32.0183,"On 4 April 2022, Russian air forces dropped cluster bombs at Mykolaiv, hitting five medical facilities. As a result, twelve people, including one child, were killed, and about 61 were wounded.",12
9058992,2022-04-04,"Battles","Military Forces of Russia (2000-)","Military Forces of Ukraine (2019-)","Donetsk","Pokrovskyi","Avdiivka",48.1394,37.7497,"On 4 April 2022, Russian forces clashed with Ukrainian forces in Avdiivka, Donetsk. As a result, two civilians were killed and four were wounded.",2
9059054,2022-04-04,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Chuguivskyi","Chuhuiv",49.8359,36.688,"On 4 April 2022, Russian forces shelled Chuhuiv, Kharkiv, killing two civilians. Further casualties unknown.",2
9059376,2022-04-04,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Alchevskyi","Pervomaisk",48.6295,38.549,"On 4 April 2022, Ukrainian forces clashed with LPR rebel forces near Pervomaisk, Luhansk. Ukrainian military fired 152mm mortars at LPR positions, destroying four residential houses and wounding a woman. During the day, 20 Ukrainian soldiers were killed in the Luhansk region [20 fatalities split among 5 events].",4
9059377,2022-04-04,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Alchevskyi","Donetskyi",48.6963,38.6738,"On 4 April 2022, Ukrainian forces clashed with LPR rebel forces near Donetskyi, Luhansk. Ukrainian military fired 152mm, 122mm and 120mm mortars at LPR positions, hitting a residential building and damaging a power line. During the day, 20 Ukrainian soldiers were killed in the Luhansk region [20 fatalities split among 5 events].",4
9059379,2022-04-04,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Alchevskyi","Kalinovo",48.5695,38.5245,"On 4 April 2022, Ukrainian forces clashed with LPR rebel forces near Kalinovo, Luhansk. Ukrainian military fired 120mm mortars at LPR positions. During the day, 20 Ukrainian soldiers were killed in the Luhansk region [20 fatalities split among 5 events].",4
9059386,2022-04-04,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Alchevskyi","Berezivske",48.6712,38.6027,"On 4 April 2022, Ukrainian forces clashed with LPR rebel forces near Berezivske, Luhansk. Ukrainian military fired 120mm mortars at LPR positions. During the day, 20 Ukrainian soldiers were killed in the Luhansk region [20 fatalities split among 5 events].",4
9059393,2022-04-04,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Alchevskyi","Holubivka",48.6356,38.6393,"On 4 April 2022, Ukrainian forces clashed with LPR rebel forces near Holubivka, Luhansk. Ukrainian military fired 152mm mortars at LPR positions, hitting two residential buildings and damaging a power line. During the day, 20 Ukrainian soldiers were killed in the Luhansk region [20 fatalities split among 5 events].",4
9058844,2022-04-03,"Violence against civilians","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Iziumskyi","Balakliia",49.4606,36.8527,"On 3 April 2022, Russian forces fired at an evacuation bus in Balakliia, Kharkiv. The bus driver was killed.",1
9058845,2022-04-03,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Kharkivskyi","Derhachi",50.1066,36.1211,"On 3 April 2022, Russian forces shelled residential districts in Derhachi, Kharkiv. 3 people were killed, 7 people were injured.",3
9058846,2022-04-03,"Battles","Military Forces of Russia (2000-)","Military Forces of Ukraine (2019-)","Kharkiv","Kharkivskyi","Kharkiv",49.9808,36.2527,"On 3 April 2022, Russian forces clashed with the Ukrainian Army near Kharkiv and suffered considerable losses. Significant losses coded as 10 fatalities. Also, a Russian airplane SU-24 was shot down.",10
9058847,2022-04-03,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Kharkivskyi","Kharkiv",49.9808,36.2527,"On 3 April 2022, Russian forces shelled residential districts in Kharkiv. 7 people were killed and at least 34 injured.",7
9058853,2022-04-03,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Novodruzhesk",48.9628,38.3521,"On 3 April 2022, Russian forces fired mortars at Novodruzhesk, Luhansk. 2 volunteers were killed while bringing humanitarian aid to citizens.",2
9058952,2022-04-03,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Bakhmutskyi","Bakhmut",48.5956,37.9999,"On 3 April 2022, Russian forces launched rockets at Bakhmut, Donetsk. One civilian was killed.",1
9058987,2022-04-03,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Mykolaiv","Mykolaivskyi","Ochakiv",46.6128,31.5498,"On 3 April 2022, Russian forces shelled Ochakiv, Mykolaiv. 7 civilians were killed and 20 injured.",7
9058998,2022-04-03,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Mykolaiv","Mykolaivskyi","Mykolaiv",46.9672,32.0183,"On 3 April 2022, Russian forces shelled Mykolaiv. 1 person was killed, 14 injured and civilian infrastructure damaged.",1
9059068,2022-04-03,"Battles","Military Forces of Russia (2000-)","Military Forces of Ukraine (2019-)","Luhansk","Sievierodonetskyi","Rubizhne",49.0123,38.3797,"On 3 April 2022, Russian forces clashed with Ukrainian forces near Rubizhne, Luhansk. 1 civilian was killed and civilian infrastructure was damaged. Also dozens of Russian soldiers were killed coded as additional 12 fatalities.",13
9059080,2022-04-03,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Zaporizhia","Polohivskyi","Polohy",47.4844,36.2536,"On 3 April 2022, Russian forces clashed with the Ukrainian Army in the direction of Polohy, Zaporizhia. At least 48 Russian soldiers were killed and 21 were injured.",48
9059060,2022-04-02,"Violence against civilians","Military Forces of Russia (2000-)","Civilians (Lithuania)","Donetsk","Mariupolskyi","Mariupol",47.1298,37.571,"On 2 April 2022, Russian forces killed a Lithuanian documentalist during evacuation from Mariupol, Donetsk.",1
8982975,2022-04-01,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Donetsk","Pokrovskyi","Marinka",47.9425,37.505,"On 1 April 2022, Ukrainian forces clashed with Russian forces and Donetsk rebels near Marinka, Donetsk. 4 people died during the day.",4
8982981,2022-04-01,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Volnovaskyi","Novoselivka",47.4029,37.7328,"On 1 April 2022, Russian forces shelled Novoselivka, Donetsk. 1 person was killed.",1
8982983,2022-04-01,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Volnovaskyi","Vuhledar",47.7789,37.2481,"On 1 April 2022, Russian forces shelled Vuhledar, Donetsk. 2 people were killed.",2
8983036,2022-04-01,"Battles","Military Forces of Russia (2000-)","Military Forces of Ukraine (2019-)","Luhansk","Sievierodonetskyi","Severodonetsk",48.9467,38.4914,"On 1 April 2022, Russian forces shelled Severodonetsk, Luhansk. The Ukrainian forces responded with fire. Houses were hit and fires emerged. 2 people were killed.",2
8983056,2022-04-01,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Zaporizhia","Zaporizkyi","Zaporizhia",47.8479,35.1602,"On 1 April 2022, in the morning, clashes between Ukrainian and Russian forces continued in Zaporizhia oblast. 32 Russian soldiers were killed, two APCs, and two Grad missile systems were destroyed.",32
8983560,2022-04-01,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Sievierodonetskyi","Kreminna",49.0495,38.2179,"On 1 April 2022, Ukrainian forces clashed with Luhansk rebels near Kreminna, Luhansk. According to Russian sources, up to 40 Ukrainian soldiers were killed in Metolkine and Kreminna, one artillery unit and 2 APCs were destroyed. [40 fatalities split among 2 events]",20
8983569,2022-04-01,"Battles","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Sievierodonetskyi","Metolkine",48.9295,38.5549,"On 1 April 2022, Ukrainian forces clashed with Luhansk rebels near Metolkine, Luhansk. According to Russian sources, up to 40 Ukrainian soldiers were killed in Metolkine and Kreminna, one artillery unit and 2 APCs were destroyed. [40 fatalities split among 2 events]",20
8982970,2022-03-31,"Battles","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Donetsk","Mariupolskyi","Mariupol",47.1298,37.571,"On 31 March 2022, armed clashes continued between the Russian and Ukrainian forces around Mariupol, Donetsk. At least one Ukrainian serviceman died during the clashes.",1
8982971,2022-03-31,"Explosions/Remote violence","NAF: United Armed Forces of Novorossiya","Military Forces of Ukraine (2019-) Special Operations Detachment Azov","Donetsk","Mariupolskyi","Mariupol",47.1298,37.571,"On 31 March 2022, NAF forces shot down 2 Mil Mi-8 helicopters in the territory of Mariupol, Donetsk which allegedly were evacuating the commanders of the Azov Battalion. As a result, 15 people died.",15
8982977,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Pokrovskyi","Marinka",47.9425,37.505,"On 31 March 2022, Russian forces shelled Marinka, Donetsk with phosphorus shells as a result of which 2 civilians died and 11 were wounded.",2
8982979,2022-03-31,"Battles","NAF: United Armed Forces of Novorossiya","Military Forces of Ukraine (2019-)","Donetsk","Pokrovskyi","Novobakhmutivka",48.2489,37.7875,"On 31 March 2022, NAF forces clashed with Ukrainian forces in Novobakhmutivka, Donetsk, as a result of which about 50 Ukrainian servicemen died.",50
8982984,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Volnovaskyi","Vuhledar",47.7789,37.2481,"On 31 March 2022, Russian forces shelled Vuhledar, Donetsk as a result of which 2 civilians were killed.",2
8983068,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Kharkivskyi","Derhachi",50.1066,36.1211,"On 31 March 2022, Russian forces shelled Derhachi, Kharkiv as a result of which at least 1 civilian died.",1
8983094,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Military Forces of Ukraine (2019-)","Dnipropetrovsk","Dniprovskyi","Dnipro",48.4593,35.0386,"On 31 March 2022, Russian forces fired missiles at a military unit in the Dnipropetrovsk region [coded to Dnipro] as a result of which at least 2 people were killed and 5 were injured.",2
8983102,2022-03-31,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Kharkiv","Iziumskyi","Izium",49.2088,37.2485,"On 31 March 2022, Ukrainian forces shelled and fully destroyed the 237th tank regiment of the 3rd motorized infantry division near Izium, Kharkiv as a result of which 31 Russian servicemen were killed and 33 wounded.",31
8983112,2022-03-31,"Violence against civilians","Military Forces of Russia (2000-)","Civilians (Ukraine)","Sumy","Sumskyi","Sumy",50.9216,34.8003,"On 31 March 2022, Russian forces shot dead a civilian in the Sumy region. [coded to Sumy as the exact location is unknown]",1
8983135,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Lysychansk",48.9054,38.4353,"On 31 March 2022, Russian forces shelled a refinery and other civilian infrastructures in Lysychansk, Luhansk as a result of which at least 7 people were killed and dozens wounded.",7
8983184,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Sumy","Konotopskyi","Konotop",51.2403,33.2026,"On 31 March 2022, a car hit a mine planted by the Russian forces in Konotop district, Sumy as a result of which 1 civilian died and 3 were wounded. [coded to Konotop as the exact location is unknown]",1
8983200,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Severodonetsk",48.9467,38.4914,"On 31 March 2022, Russian forces continuously shelled residential buildings in Severodonetsk, Luhansk as a result of which 2 civilians were killed.",2
8983221,2022-03-31,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","Military Forces of Russia (2000-)","Zaporizhia","Zaporizkyi","Zaporizhia",47.8479,35.1602,"On 31 March 2022, Ukrainian forces killed 32 and wounded 38 Russian servicemen in the Zaporizhia region. The Ukrainian forces also captured 2 tanks and 2 armored personnel carriers as well as destroyed 7 cars and 2 BM-21 Grad systems.",32
8983344,2022-03-31,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","Civilians (Ukraine)","Donetsk","Donetskyi","Donetsk - Kirovskyi",47.968,37.5475,"On 31 March 2022, Ukrainian forces shelled Donetsk - Kirovskyi as a result of which civilian infrastructures were damaged as well as one civilian died and one got wounded.",1
8983387,2022-03-31,"Battles","NAF: United Armed Forces of Novorossiya","Military Forces of Ukraine (2019-)","Luhansk","Sievierodonetskyi","Severodonetsk",48.9467,38.4914,"On 31 March 2022, NAF forces clashed with Ukrainian forces in Severodonetsk, Luhansk, and advanced 2km further into the city. About 40 Ukrainian servicemen were killed. NAF casualties unknown.",40
8983676,2022-03-31,"Battles","Military Forces of Ukraine (2019-) National Guard","Military Forces of Russia (2000-)","Mykolaiv","Mykolaivskyi","Mykolaiv",46.9672,32.0183,"On 31 March 2022, Ukrainian forces stopped the advance of the Russian column with sniper fire in the Mykolaiv region after which the whole column was hit with grenade launchers. Russian forces suffered losses and were forced to leave. Unspecified fatalities coded as 10.",10
8983736,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Kramatorskyi","Kostiantynivka",48.5333,37.7166,"On 31 March 2022, Russian forces shelled Kostiantynivka, Donetsk as a result of which 1 civilian was killed.",1
8983741,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Donetsk","Mariupolskyi","Melekyne",46.956,37.3933,"On 31 March 2022, as a result of shelling by Russian forces 2 civilians were killed near Melekyne village, Donetsk while attempting to escape from Mariupol.",2
9058951,2022-03-31,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Chernihiv","Chernihivskyi","Chernihiv",51.5055,31.2849,"On 31 March 2022, Russian forces shelled Chernihiv throughout the day. Russian forces hit 2 columns of buses with volunteers inside that were delivering humanitarian aid at the entrance of Chernihiv as a result of which 2 civilians died and 4 were wounded.",2
8982990,2022-03-30,"Explosions/Remote violence","Military Forces of Russia (2000-) Air Force","Civilians (Ukraine)","Kharkiv","Iziumskyi","Izium",49.2088,37.2485,"On 30 March 2022, Russian forces continued to drop air bombs and fire artillery and rockets in the direction of Izium, Kharkiv. At least 2 people died.",2
8983022,2022-03-30,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Luhansk","Luhanskyi","Luhansk",48.567,39.3171,"On 30 March 2022, Ukrainian forces fired rockets at LPR forces in the direction of Luhansk. At least one NAF militant died.",1
8983070,2022-03-30,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Chuguivskyi","Chuhuiv",49.8359,36.688,"Around 30 March 2022, 2 civilians died and 5 other were injured on a mine planted by the Russian forces near Chuhuiv, Kharkiv.",2
8983174,2022-03-30,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Lysychansk",48.9054,38.4353,"On 30 March 2022, Russian forces shelled territory of Lysychansk, Luhansk. Civilian infrastructure was damaged. People were buried under damaged buildings. At least one died. A civilian bus evacuating civilians came under fire but there were no casualties.",1
8983042,2022-03-29,"Explosions/Remote violence","Military Forces of Russia (2000-) Air Force","Civilians (Ukraine)","Mykolaiv","Mykolaivskyi","Mykolaiv",46.9672,32.0183,"On 29 March 2022, Russian forces conducted an airstrike on the Regional State Administration building in Mykolaiv. The building was damaged and 36 people died and 34 were wounded. Other civilian infrastructure was also hit and damaged.",36
8983100,2022-03-29,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Chernihiv","Nizhynskyi","Nizhyn",51.048,31.8869,"On 29 March 2022, Russian forces shelled Nizhyn, Chernihiv. Civilian infrastructure was damaged. 5 people were injured and one died.",1
8983804,2022-03-29,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kherson","Beryslavskyi","Davydiv Brid",47.2407,33.1931,"On 29 March 2022, Russian forces shelled Davydiv Brid, Kherson. Two people were killed, a child was injured.",2
8982949,2022-03-28,"Explosions/Remote violence","Military Forces of Russia (2000-)","","Chernihiv","Chernihivskyi","Chernihiv",51.5055,31.2849,"On 28 March 2022, Russian forces shelled residential areas of Chernihiv. One child was killed, further casualties unknown.",1
8982994,2022-03-28,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Kharkiv","Iziumskyi","Oskil",49.1745,37.4272,"On 28 March 2022, Russian forces launched an airstrike on the village of Oskil, Kharkiv, hitting residential houses. As a result, seven people were killed.",7
8983035,2022-03-28,"Battles","Military Forces of Russia (2000-)","Military Forces of Ukraine (2019-)","Luhansk","Sievierodonetskyi","Rubizhne",49.0123,38.3797,"On 28 March 2022, there was an armed clash between Ukrainian and Russian forces in Rubizhne, Luhansk. At least one civilian was killed, further casualties unknown.",1
8983038,2022-03-28,"Explosions/Remote violence","Military Forces of Russia (2000-)","Civilians (Ukraine)","Luhansk","Sievierodonetskyi","Severodonetsk",48.9467,38.4914,"On 28 March 2022, Russian forces shelled the area around and the city of Severodonetsk, Luhansk, killing two people, including a child. Further casualties unknown. At least 7 people were wounded and five residential buildings were damaged. Russian forces also shelled a hospital in the city.",2
8983353,2022-03-28,"Explosions/Remote violence","Military Forces of Ukraine (2019-)","NAF: United Armed Forces of Novorossiya","Donetsk","Pokrovskyi","Donetsk - Petrovskyi",47.9341,37.4817,"On 28 March 2022, the Ukrainian forces shelled at the positions of Donbass People's Militia near Donetsk - Petrovskyi, killing one civilian.",1
8983683,2022-03-28,"Violence against civilians","Military Forces of Russia (2000-)","Civilians (Ukraine)","Sumy","Okhtyrskyi","Trostianets",50.4848,34.9657,"Around 28 March 2022 (month of), Russian forces tortured and killed a civilian in Trostianets, Sumy.",1
